,datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Hour,Weekday Name
0,1/2/2014,0.0,3.67,3.4,32.4,7.0,0.0,0.0,2.0,2014,1,248,Thursday
1,1/3/2014,8.0,4.0,4.4,50.6,16.0,0.0,20.0,4.0,2014,1,276,Friday
2,1/4/2014,2.0,1.0,6.5,61.85,10.0,0.0,9.0,1.0,2014,1,276,Saturday
3,1/5/2014,4.0,3.0,7.0,41.1,8.0,0.0,3.0,0.0,2014,1,276,Sunday
4,1/6/2014,5.0,1.0,4.5,21.7,16.0,2.0,6.0,2.0,2014,1,276,Monday
5,1/7/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,276,Tuesday
6,1/8/2014,5.33,3.0,10.5,26.4,19.0,1.0,10.0,0.0,2014,1,276,Wednesday
7,1/9/2014,7.0,1.68,8.0,25.0,16.0,0.0,3.0,2.0,2014,1,276,Thursday
8,1/10/2014,5.0,2.0,2.0,53.3,15.0,2.0,0.0,2.0,2014,1,276,Friday
9,1/11/2014,5.0,4.34,10.4,52.3,14.0,0.0,1.0,0.2,2014,1,276,Saturday
10,1/12/2014,2.0,0.66,2.5,12.0,8.0,0.0,1.0,1.0,2014,1,276,Sunday
11,1/13/2014,7.34,7.66,6.2,52.0,9.0,0.0,7.0,1.0,2014,1,276,Monday
12,1/14/2014,6.0,1.33,12.3,33.7,6.0,1.0,0.0,2.0,2014,1,276,Tuesday
13,1/15/2014,4.0,2.34,5.0,26.7,12.0,2.0,3.0,3.0,2014,1,276,Wednesday
14,1/16/2014,6.0,2.0,4.3,28.3,19.0,1.0,5.0,0.0,2014,1,276,Thursday
15,1/17/2014,2.0,3.68,8.3,20.4,15.0,0.0,6.0,3.0,2014,1,276,Friday
16,1/18/2014,1.0,5.33,5.8,43.2,15.0,4.0,7.0,2.0,2014,1,276,Saturday
17,1/19/2014,4.33,4.0,4.0,14.1,4.0,0.0,1.0,1.0,2014,1,276,Sunday
18,1/20/2014,6.0,3.34,3.3,11.9,18.0,2.0,12.0,3.0,2014,1,276,Monday
19,1/21/2014,2.0,3.34,4.0,42.0,15.0,2.0,0.0,1.0,2014,1,276,Tuesday
20,1/22/2014,7.0,3.0,7.0,18.1,10.0,0.0,5.0,2.0,2014,1,276,Wednesday
21,1/23/2014,4.0,4.67,5.2,26.2,2.0,3.0,1.0,3.0,2014,1,276,Thursday
22,1/24/2014,4.67,7.34,7.0,19.6,13.0,1.0,0.0,0.0,2014,1,276,Friday
23,1/25/2014,6.0,9.0,5.0,37.8,18.0,0.0,5.0,1.0,2014,1,276,Saturday
24,1/26/2014,4.33,1.68,0.0,24.0,4.0,0.0,0.0,0.0,2014,1,276,Sunday
25,1/27/2014,4.34,4.67,1.2,23.6,17.0,2.0,1.0,3.0,2014,1,276,Monday
26,1/28/2014,6.0,3.34,2.8,13.38,22.0,5.0,1.0,5.0,2014,1,276,Tuesday
27,1/29/2014,5.33,4.0,2.0,14.0,10.0,1.0,1.0,2.0,2014,1,276,Wednesday
28,1/30/2014,3.02,1.34,2.4,25.5,7.0,1.0,3.0,2.0,2014,1,276,Thursday
29,1/31/2014,1.0,2.68,7.1,26.9,9.0,0.0,1.0,0.0,2014,1,276,Friday
30,2/1/2014,4.33,4.32,5.0,43.0,13.0,1.0,14.0,0.0,2014,2,276,Saturday
31,2/2/2014,7.0,3.0,0.2,13.5,6.0,2.0,8.0,0.0,2014,2,276,Sunday
32,2/3/2014,5.0,1.0,8.5,32.4,16.0,1.0,1.0,0.0,2014,2,276,Monday
33,2/4/2014,1.33,3.0,7.0,30.6,8.0,1.0,17.0,2.0,2014,2,276,Tuesday
34,2/5/2014,3.0,4.02,6.2,32.4,15.0,1.0,1.0,1.0,2014,2,276,Wednesday
35,2/6/2014,3.33,6.68,3.5,41.4,17.0,2.0,5.0,2.0,2014,2,276,Thursday
36,2/7/2014,2.66,8.67,11.7,21.4,19.0,1.0,0.0,0.0,2014,2,276,Friday
37,2/8/2014,3.33,3.35,14.4,37.1,13.0,1.0,1.0,1.0,2014,2,276,Saturday
38,2/9/2014,4.0,3.0,2.0,31.5,10.0,0.0,6.0,0.0,2014,2,276,Sunday
39,2/10/2014,5.0,10.33,8.5,40.1,20.0,3.0,3.0,1.0,2014,2,276,Monday
40,2/11/2014,10.0,6.99,13.3,44.6,20.0,2.0,6.0,2.2,2014,2,276,Tuesday
41,2/12/2014,9.0,1.67,9.1,73.6,9.0,0.0,5.0,0.0,2014,2,276,Wednesday
42,2/13/2014,4.33,3.67,10.0,49.1,13.0,3.0,0.0,1.0,2014,2,276,Thursday
43,2/14/2014,4.0,4.01,3.2,42.3,13.0,4.0,0.0,6.0,2014,2,276,Friday
44,2/15/2014,1.0,2.34,2.0,37.0,9.0,0.0,1.0,5.0,2014,2,276,Saturday
45,2/16/2014,0.0,1.68,1.2,34.0,5.0,2.0,3.0,1.0,2014,2,276,Sunday
46,2/17/2014,7.34,4.0,12.7,27.0,13.0,1.0,7.0,0.0,2014,2,276,Monday
47,2/18/2014,7.34,7.36,6.1,45.0,14.0,0.0,13.0,5.0,2014,2,276,Tuesday
48,2/19/2014,3.33,5.02,5.5,66.8,17.0,1.0,6.0,1.0,2014,2,276,Wednesday
49,2/20/2014,7.0,7.02,3.2,21.5,16.0,3.0,8.0,1.0,2014,2,276,Thursday
50,2/21/2014,6.0,4.34,9.0,25.4,17.0,0.0,0.0,0.0,2014,2,276,Friday
51,2/22/2014,7.0,3.17,5.7,26.0,12.0,0.0,1.0,0.0,2014,2,276,Saturday
52,2/23/2014,1.0,3.34,2.0,21.0,10.0,0.0,0.0,0.0,2014,2,276,Sunday
53,2/24/2014,7.0,4.68,5.5,26.5,4.0,0.0,0.0,3.0,2014,2,276,Monday
54,2/25/2014,5.0,1.68,11.2,34.5,13.0,0.0,0.0,2.0,2014,2,276,Tuesday
55,2/26/2014,5.0,4.01,1.0,34.0,5.0,0.0,12.0,1.0,2014,2,276,Wednesday
56,2/27/2014,3.0,6.34,4.0,33.2,8.0,1.0,2.0,1.0,2014,2,276,Thursday
57,2/28/2014,7.0,7.36,5.3,37.0,12.0,1.0,2.0,0.0,2014,2,276,Friday
58,3/1/2014,6.34,3.68,11.355,50.7,8.0,0.0,0.0,2.1,2014,3,276,Saturday
59,3/2/2014,3.34,1.0,2.0,6.6,2.0,0.0,0.0,1.0,2014,3,276,Sunday
60,3/3/2014,4.0,3.68,1.6,22.1,1.0,2.0,0.0,2.2,2014,3,276,Monday
61,3/4/2014,5.34,7.02,7.2,47.275,9.0,0.0,5.0,4.0,2014,3,276,Tuesday
62,3/5/2014,3.34,1.0,3.0,25.0,4.0,0.0,1.0,0.0,2014,3,276,Wednesday
63,3/6/2014,3.0,2.0,5.5,44.1,17.0,1.0,5.0,1.0,2014,3,276,Thursday
64,3/7/2014,4.0,4.34,9.5,25.0,3.0,1.0,0.0,2.0,2014,3,276,Friday
65,3/8/2014,4.34,3.07,1.0,27.6,11.0,0.0,0.0,0.0,2014,3,276,Saturday
66,3/9/2014,1.0,0.0,4.0,11.3,3.0,0.0,5.0,0.0,2014,3,276,Sunday
67,3/10/2014,6.68,5.35,3.8,47.0,11.0,0.0,0.0,2.0,2014,3,276,Monday
68,3/11/2014,6.0,5.7,7.0,30.4,12.0,1.0,1.0,5.0,2014,3,276,Tuesday
69,3/12/2014,6.34,2.68,6.5,19.6,22.0,3.0,2.0,2.0,2014,3,276,Wednesday
70,3/13/2014,2.31,4.36,5.3,15.5,10.0,0.0,26.0,2.0,2014,3,276,Thursday
71,3/14/2014,4.34,1.68,1.2,16.0,11.0,0.0,1.0,2.0,2014,3,276,Friday
72,3/15/2014,4.0,2.0,11.0,23.3,18.0,1.0,6.0,2.0,2014,3,276,Saturday
73,3/16/2014,2.68,2.0,1.4,13.0,6.0,0.0,0.0,4.0,2014,3,276,Sunday
74,3/17/2014,8.68,3.34,7.0,37.0,6.0,1.0,0.0,1.0,2014,3,276,Monday
75,3/18/2014,8.0,4.0,5.0,20.1,9.0,0.0,0.0,4.0,2014,3,276,Tuesday
76,3/19/2014,4.0,3.02,4.0,21.8,2.0,0.0,0.0,2.0,2014,3,276,Wednesday
77,3/20/2014,3.0,5.34,1.6,38.2,5.0,0.0,7.0,4.2,2014,3,276,Thursday
78,3/21/2014,6.0,3.68,4.5,40.0,4.0,0.0,2.0,1.0,2014,3,276,Friday
79,3/22/2014,3.34,2.34,0.0,26.3,10.0,2.0,18.0,8.4,2014,3,276,Saturday
80,3/23/2014,6.34,2.0,4.0,19.4,0.0,1.0,0.0,3.0,2014,3,276,Sunday
81,3/24/2014,5.68,1.0,4.0,23.6,7.0,0.0,6.0,3.5,2014,3,276,Monday
82,3/25/2014,4.0,1.34,9.0,38.6,7.0,0.0,1.0,1.0,2014,3,276,Tuesday
